dataset,id,kind,name,L1,L2,L3,L4,absent,sent_indices
kaiser,AlphaInsurance,rel_endpoint,ClaimCase-(dependency)->Estimator,True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,rel_endpoint,ClaimCase-(dependency)->Estimator (tgt),False,True,False,True,False,
kaiser,AlphaInsurance,rel_endpoint,Customer-(association)->Broker,True,True,True,True,False,1;2;3;4;5;7;13
kaiser,AlphaInsurance,rel_endpoint,Customer-(association)->Broker (tgt),True,True,True,True,False,1;2;3
kaiser,BankAccount,class,Bank,True,True,True,True,False,0;2;4;6
kaiser,BankAccount,class,Branch,False,True,False,True,False,
kaiser,BankAccount,class,Customer,True,True,True,True,False,3;5;6
kaiser,BankAccount,class,Account,True,True,True,True,False,6;8
kaiser,BankAccount,class,SavingsAccount,True,True,True,True,False,6;7;8
kaiser,BankAccount,class,CheckingAccount,True,True,True,True,False,6;8
kaiser,BankAccount,attribute,Customer.firstName,True,True,True,True,False,3
kaiser,BankAccount,attribute,Customer.lastName,True,True,True,True,False,3
kaiser,BankAccount,attribute,Account.accountNumber,True,True,True,True,False,2;4;6;8
kaiser,BankAccount,attribute,Account.balance,True,True,True,True,False,8
kaiser,BankAccount,attribute,CheckingAccount.overdraftLimit,True,True,True,True,False,9
kaiser,BankAccount,rel_endpoint,Bank-(aggregation)->Branch,True,True,True,True,False,0;2;4;6
kaiser,BankAccount,rel_endpoint,Bank-(aggregation)->Branch (tgt),False,True,False,True,False,
kaiser,BankAccount,rel_endpoint,Bank-(association)->Customer,True,True,True,True,False,0;2;4;6
kaiser,BankAccount,rel_endpoint,Bank-(association)->Customer (tgt),True,True,True,True,False,3;5;6
kaiser,BankAccount,rel_endpoint,Customer-(directed)->Account,True,True,True,True,False,3;5;6
kaiser,BankAccount,rel_endpoint,Customer-(directed)->Account (tgt),True,True,True,True,False,6;8
kaiser,BankAccount,rel_endpoint,Account-(inheritance)->SavingsAccount,True,True,True,True,False,6;8
kaiser,BankAccount,rel_endpoint,Account-(inheritance)->SavingsAccount (tgt),True,True,True,True,False,6;7;8
kaiser,BankAccount,rel_endpoint,Account-(inheritance)->CheckingAccount,True,True,True,True,False,6;8
kaiser,BankAccount,rel_endpoint,Account-(inheritance)->CheckingAccount (tgt),True,True,True,True,False,6;8
kaiser,Boeing,class,AirplaneModel,True,True,True,True,False,1;5
kaiser,Boeing,class,Airplane,True,True,True,True,False,1;5
kaiser,Boeing,class,Acquisition,True,True,True,True,False,5
kaiser,Boeing,class,Contract,True,True,True,True,False,3;4;6
kaiser,Boeing,class,Employee,True,True,True,True,False,7
kaiser,Boeing,class,Airline,True,True,True,True,False,0;3;9;10
kaiser,Boeing,attribute,AirplaneModel.ModelId,True,True,True,True,False,5
kaiser,Boeing,attribute,Airplane.AirPlaneId,False,False,False,True,False,
kaiser,Boeing,attribute,Acquisition.AcquisitionId,True,True,True,True,False,5
kaiser,Boeing,attribute,Acquisition.NegotiatedPice,True,True,True,True,False,5
kaiser,Boeing,attribute,Acquisition.Options,True,True,True,True,False,5
kaiser,Boeing,attribute,Acquisition.DeliveryDate,True,True,True,True,False,4;5
kaiser,Boeing,attribute,Contract.ContractId,True,True,True,True,False,3;4;6
kaiser,Boeing,attribute,Contract.Text,False,False,False,False,True,
kaiser,Boeing,attribute,Employee.EmployeeId,True,True,True,True,False,7
kaiser,Boeing,attribute,Airline.Name,False,False,False,True,False,
kaiser,Boeing,rel_endpoint,AirplaneModel-(association)->Airplane,True,True,True,True,False,1;5
kaiser,Boeing,rel_endpoint,AirplaneModel-(association)->Airplane (tgt),True,True,True,True,False,1;5
kaiser,Boeing,rel_endpoint,Airplane-(association)->Acquisition,True,True,True,True,False,1;5
kaiser,Boeing,rel_endpoint,Airplane-(association)->Acquisition (tgt),True,True,True,True,False,5
kaiser,Boeing,rel_endpoint,Acquisition-(association)->Contract,True,True,True,True,False,5
kaiser,Boeing,rel_endpoint,Acquisition-(association)->Contract (tgt),True,True,True,True,False,3;4;6
kaiser,Boeing,rel_endpoint,Contract-(association)->Airline,True,True,True,True,False,3;4;6
kaiser,Boeing,rel_endpoint,Contract-(association)->Airline (tgt),True,True,True,True,False,0;3;9;10
kaiser,Boeing,rel_endpoint,Contract-(association)->Employee,True,True,True,True,False,3;4;6
kaiser,Boeing,rel_endpoint,Contract-(association)->Employee (tgt),True,True,True,True,False,7
kaiser,Boeing,rel_endpoint,Airline-(association)->Airline,True,True,True,True,False,0;3;9;10
kaiser,Boeing,rel_endpoint,Airline-(association)->Airline (tgt),True,True,True,True,False,0;3;9;10
kaiser,BuildingManagement,class,User,True,True,True,True,False,1;8;9;10;15;16
kaiser,BuildingManagement,class,Administrator,True,True,True,True,False,10
kaiser,BuildingManagement,class,WebPortal,True,True,True,True,False,0;5;8;10
kaiser,BuildingManagement,class,Building,True,True,True,True,False,1;6
kaiser,BuildingManagement,class,Entry,True,True,True,True,False,2;3
kaiser,BuildingManagement,class,TextEntry,True,True,True,True,False,2;3;13
kaiser,BuildingManagement,class,NumericEntry,True,True,True,True,False,2;3
kaiser,BuildingManagement,class,EntryGroup,True,True,True,True,False,2;3
kaiser,BuildingManagement,class,Comment,True,True,True,True,False,12
kaiser,BuildingManagement,class,Image,False,True,False,True,False,
kaiser,BuildingManagement,attribute,User.username,False,False,False,False,True,
kaiser,BuildingManagement,attribute,User.password,True,True,True,True,False,8
kaiser,BuildingManagement,attribute,User.email,True,True,True,True,False,8;9;11
kaiser,BuildingManagement,attribute,Administrator.idCardNumber,True,True,True,True,False,0;1;3;6;15
kaiser,BuildingManagement,attribute,WebPortal.versionNumber,True,True,True,True,False,0;3;6;15
kaiser,BuildingManagement,attribute,WebPortal.url,True,True,True,True,False,0
kaiser,BuildingManagement,attribute,Building.id,True,True,True,True,False,1;15
kaiser,BuildingManagement,attribute,Building.label,False,False,False,False,True,
kaiser,BuildingManagement,attribute,Building.address,True,True,True,True,False,0;1;8;9
kaiser,BuildingManagement,attribute,Building.yearOfConstruction,True,True,True,True,False,0;1;4;6;19;20
kaiser,BuildingManagement,attribute,Entry.name,True,True,True,True,False,1;2;7;8;9
kaiser,BuildingManagement,attribute,Entry.public,False,False,False,False,True,
kaiser,BuildingManagement,attribute,TextEntry.text,True,True,True,True,False,3;13
kaiser,BuildingManagement,attribute,NumericEntry.value,False,False,False,False,True,
kaiser,BuildingManagement,attribute,NumericEntry.unit,True,True,True,True,False,3
kaiser,BuildingManagement,attribute,Comment.text,True,True,True,True,False,3;13
kaiser,BuildingManagement,attribute,Image.fileName,True,True,True,True,False,1;2;7;8;9
kaiser,BuildingManagement,enum_value,EnergyClass.A,True,True,True,True,False,0;1;2;3;6;7;8;9;13;17
kaiser,BuildingManagement,enum_value,EnergyClass.B,True,True,True,True,False,1
kaiser,BuildingManagement,enum_value,EnergyClass.C,True,True,True,True,False,1
kaiser,BuildingManagement,enum_value,EnergyClass.D,True,True,True,True,False,1
kaiser,BuildingManagement,rel_endpoint,WebPortal-(directed)->Entry,True,True,True,True,False,0;5;8;10
kaiser,BuildingManagement,rel_endpoint,WebPortal-(directed)->Entry (tgt),True,True,True,True,False,2;3
kaiser,BuildingManagement,rel_endpoint,WebPortal-(directed)->User,True,True,True,True,False,0;5;8;10
kaiser,BuildingManagement,rel_endpoint,WebPortal-(directed)->User (tgt),True,True,True,True,False,1;8;9;10;15;16
kaiser,BuildingManagement,rel_endpoint,EntryGroup-(composition)->Entry,True,True,True,True,False,2;3
kaiser,BuildingManagement,rel_endpoint,EntryGroup-(composition)->Entry (tgt),True,True,True,True,False,2;3
kaiser,BuildingManagement,rel_endpoint,Entry-(inheritance)->TextEntry,True,True,True,True,False,2;3
kaiser,BuildingManagement,rel_endpoint,Entry-(inheritance)->TextEntry (tgt),True,True,True,True,False,2;3;13
kaiser,BuildingManagement,rel_endpoint,Entry-(inheritance)->NumericEntry,True,True,True,True,False,2;3
kaiser,BuildingManagement,rel_endpoint,Entry-(inheritance)->NumericEntry (tgt),True,True,True,True,False,2;3
kaiser,BuildingManagement,rel_endpoint,User-(inheritance)->Administrator,True,True,True,True,False,1;8;9;10;15;16
kaiser,BuildingManagement,rel_endpoint,User-(inheritance)->Administrator (tgt),True,True,True,True,False,10
kaiser,BuildingManagement,rel_endpoint,User-(directed)->Building,True,True,True,True,False,1;8;9;10;15;16
kaiser,BuildingManagement,rel_endpoint,User-(directed)->Building (tgt),True,True,True,True,False,1;6
kaiser,BuildingManagement,rel_endpoint,User-(directed)->Building,True,True,True,True,False,1;8;9;10;15;16
kaiser,BuildingManagement,rel_endpoint,User-(directed)->Building (tgt),True,True,True,True,False,1;6
kaiser,BuildingManagement,rel_endpoint,Building-(directed)->Comment,True,True,True,True,False,1;6
kaiser,BuildingManagement,rel_endpoint,Building-(directed)->Comment (tgt),True,True,True,True,False,12
kaiser,BuildingManagement,rel_endpoint,Building-(directed)->Image,True,True,True,True,False,1;6
kaiser,BuildingManagement,rel_endpoint,Building-(directed)->Image (tgt),False,True,False,True,False,
kaiser,BuildingManagement,rel_endpoint,Building-(directed)->EnergyClass,True,True,True,True,False,1;6
kaiser,BuildingManagement,rel_endpoint,Building-(directed)->EnergyClass (tgt),True,True,True,True,False,0;1;17
kaiser,BusTransportationManagementSystem,class,Shift,True,True,True,True,False,8;9
kaiser,BusTransportationManagementSystem,class,BusVehicle,True,True,True,True,False,0;2;3;6;7;9;10;11;12;13;14;15;16
kaiser,BusTransportationManagementSystem,class,Route,True,True,True,True,False,2;3;5;6;8;14;15
kaiser,BusTransportationManagementSystem,class,RouteAssignment,True,True,True,True,False,2;3;5;6;8;14;15
kaiser,BusTransportationManagementSystem,class,Driver,True,True,True,True,False,1;9;10;11;13;14;16
kaiser,BusTransportationManagementSystem,class,DriverSchedule,True,True,True,True,False,1;7;9;10;11;13;14;16
kaiser,BusTransportationManagementSystem,attribute,BusVehicle.LicencePlate,True,True,True,True,False,2;3;15
kaiser,BusTransportationManagementSystem,attribute,BusVehicle.InRepairShop,True,True,True,True,False,4;7;10;13;16
kaiser,BusTransportationManagementSystem,attribute,Route.Number,True,True,True,True,False,2;3;15
kaiser,BusTransportationManagementSystem,attribute,RouteAssignment.Date,False,False,False,False,True,
kaiser,BusTransportationManagementSystem,attribute,Driver.Name,True,True,True,True,False,1
kaiser,BusTransportationManagementSystem,attribute,Driver.Id,True,True,True,True,False,1
kaiser,BusTransportationManagementSystem,attribute,Driver.OnSickLeave,True,True,True,True,False,6;9;13;16
kaiser,BusTransportationManagementSystem,attribute,DriverSchedule.Shift,True,True,True,True,False,8;9
kaiser,BusTransportationManagementSystem,rel_endpoint,BusVehicle-(association)->RouteAssignment,True,True,True,True,False,0;2;3;6;7;9;10;11;12;13;14;15;16
kaiser,BusTransportationManagementSystem,rel_endpoint,BusVehicle-(association)->RouteAssignment (tgt),True,True,True,True,False,2;3;5;6;8;14;15
kaiser,BusTransportationManagementSystem,rel_endpoint,Route-(association)->RouteAssignment,True,True,True,True,False,2;3;5;6;8;14;15
kaiser,BusTransportationManagementSystem,rel_endpoint,Route-(association)->RouteAssignment (tgt),True,True,True,True,False,2;3;5;6;8;14;15
kaiser,BusTransportationManagementSystem,rel_endpoint,Driver-(association)->DriverSchedule,True,True,True,True,False,1;9;10;11;13;14;16
kaiser,BusTransportationManagementSystem,rel_endpoint,Driver-(association)->DriverSchedule (tgt),True,True,True,True,False,1;7;9;10;11;13;14;16
kaiser,BusTransportationManagementSystem,rel_endpoint,RouteAssignment-(association)->DriverSchedule,True,True,True,True,False,2;3;5;6;8;14;15
kaiser,BusTransportationManagementSystem,rel_endpoint,RouteAssignment-(association)->DriverSchedule (tgt),True,True,True,True,False,1;7;9;10;11;13;14;16
kaiser,CardGameApp,class,Game,True,True,True,True,False,0;2
kaiser,CardGameApp,class,Player,True,True,True,True,False,10
kaiser,CardGameApp,class,Deck,True,True,True,True,False,2;3
kaiser,CardGameApp,class,Card,True,True,True,True,False,0;4
kaiser,CardGameApp,class,Scoreboard,False,False,False,False,True,
kaiser,CardGameApp,class,Round,True,True,True,True,False,6;7
kaiser,CardGameApp,class,RoundType,True,True,True,True,False,6;7;9
kaiser,CardGameApp,class,SoloRound,True,True,True,True,False,6;7;8;9;10
kaiser,CardGameApp,class,MandatorySolo,True,True,True,True,False,7;8;9;10
kaiser,CardGameApp,class,DoubleRound,True,True,True,True,False,6;7
kaiser,CardGameApp,attribute,Game.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,Player.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,Deck.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,Card.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,Card.suit,False,True,False,True,False,
kaiser,CardGameApp,attribute,Scoreboard.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,Round.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,Round.points,False,True,False,True,False,
kaiser,CardGameApp,attribute,RoundType.ID,True,True,True,True,False,11
kaiser,CardGameApp,attribute,SoloRound.solo,True,True,True,True,False,7;8;9;10
kaiser,CardGameApp,enum_value,Suit.Diamonds,True,True,True,True,False,5
kaiser,CardGameApp,enum_value,Suit.Hearts,True,True,True,True,False,5
kaiser,CardGameApp,enum_value,Suit.Spades,True,True,True,True,False,5
kaiser,CardGameApp,enum_value,Suit.Clubs,True,True,True,True,False,0;5
kaiser,CardGameApp,enum_value,Compare.Lower,True,True,True,True,False,4
kaiser,CardGameApp,enum_value,Compare.Higher,True,True,True,True,False,4
kaiser,CardGameApp,enum_value,Compare.Equal,True,True,True,True,False,4
kaiser,CardGameApp,enum_value,SoloType.Trump,True,True,True,True,False,9
kaiser,CardGameApp,enum_value,SoloType.Jacks,False,True,False,True,False,
kaiser,CardGameApp,enum_value,SoloType.Queens,False,True,False,True,False,
kaiser,CardGameApp,rel_endpoint,Game-(directed)->Scoreboard,True,True,True,True,False,0;2
kaiser,CardGameApp,rel_endpoint,Game-(directed)->Scoreboard (tgt),False,False,False,False,True,
kaiser,CardGameApp,rel_endpoint,Game-(directed)->Deck,True,True,True,True,False,0;2
kaiser,CardGameApp,rel_endpoint,Game-(directed)->Deck (tgt),True,True,True,True,False,2;3
kaiser,CardGameApp,rel_endpoint,Game-(directed)->Player,True,True,True,True,False,0;2
kaiser,CardGameApp,rel_endpoint,Game-(directed)->Player (tgt),True,True,True,True,False,10
kaiser,CardGameApp,rel_endpoint,Deck-(directed)->Card,True,True,True,True,False,2;3
kaiser,CardGameApp,rel_endpoint,Deck-(directed)->Card (tgt),True,True,True,True,False,0;4
kaiser,CardGameApp,rel_endpoint,Scoreboard-(directed)->Round,False,False,False,False,True,
kaiser,CardGameApp,rel_endpoint,Scoreboard-(directed)->Round (tgt),True,True,True,True,False,6;7
kaiser,CardGameApp,rel_endpoint,Player-(directed)->Round,True,True,True,True,False,10
kaiser,CardGameApp,rel_endpoint,Player-(directed)->Round (tgt),True,True,True,True,False,6;7
kaiser,CardGameApp,rel_endpoint,Player-(directed)->RoundType,True,True,True,True,False,10
kaiser,CardGameApp,rel_endpoint,Player-(directed)->RoundType (tgt),True,True,True,True,False,6;7;9
kaiser,CardGameApp,rel_endpoint,RoundType-(inheritance)->SoloRound,True,True,True,True,False,6;7;9
kaiser,CardGameApp,rel_endpoint,RoundType-(inheritance)->SoloRound (tgt),True,True,True,True,False,6;7;8;9;10
kaiser,CardGameApp,rel_endpoint,RoundType-(inheritance)->DoubleRound,True,True,True,True,False,6;7;9
kaiser,CardGameApp,rel_endpoint,RoundType-(inheritance)->DoubleRound (tgt),True,True,True,True,False,6;7
kaiser,CardGameApp,rel_endpoint,SoloRound-(inheritance)->MandatorySolo,True,True,True,True,False,6;7;8;9;10
kaiser,CardGameApp,rel_endpoint,SoloRound-(inheritance)->MandatorySolo (tgt),True,True,True,True,False,7;8;9;10
kaiser,CardGameApp,rel_endpoint,Card-(directed)->Suit,True,True,True,True,False,0;4
kaiser,CardGameApp,rel_endpoint,Card-(directed)->Suit (tgt),False,True,False,True,False,
kaiser,CardGameApp,rel_endpoint,Card-(directed)->Compare,True,True,True,True,False,0;4
kaiser,CardGameApp,rel_endpoint,Card-(directed)->Compare (tgt),False,False,False,True,False,
kaiser,CardGameApp,rel_endpoint,SoloRound-(directed)->SoloType,True,True,True,True,False,6;7;8;9;10
kaiser,CardGameApp,rel_endpoint,SoloRound-(directed)->SoloType (tgt),True,True,True,True,False,7;8;9;10
kaiser,CelO,class,Person,False,False,False,False,True,
kaiser,CelO,class,PersonRole,False,False,False,True,False,
kaiser,CelO,class,Organizer,True,True,True,True,False,3;4;5;8;9;10;13;14;16;17;18;19;20;22
kaiser,CelO,class,Attendee,True,True,True,True,False,11;12;20;22
kaiser,CelO,class,TaskStatus,True,True,True,True,False,13;15;16;18;19
kaiser,CelO,class,Registration,False,False,False,False,True,
kaiser,CelO,class,CheckListTask,True,True,True,True,False,5;7;15;16;17;18;19;21
kaiser,CelO,class,Location,True,True,True,True,False,6;7
kaiser,CelO,class,Event,True,True,True,True,False,2;3;5;6;9;10;12;13;14;16;17;20;21;22
kaiser,CelO,class,EventType,True,True,True,True,False,2;3;5;6;9;10;12;13;14;16;17;20;21;22
